posx,posy,posz,velx,vely,velz,dist1x,dist1y,dist1z,dist2x,dist2y,dist2z,dist3x,dist3y,dist3z
4.69638851577964,10.0876094327045,0.467018093753898,30.0002280804781,0.0163045179301633,0.0602293358266746,12.8853225321778,0.203858198440635,0,3.00509673527834,-5.0859080585135,0,2.59990266246477,5.00726873204736,0
6.278374683115,8.75894186698785,-0.820659090657572,30.0050564803007,0.0541991268432292,-0.0927263618691487,12.5906693641964,0.199574286537526,0,2.69353692011487,-5.02681176741237,-4.44089209850063e-16,2.31965330025105,5.00679566180943,-2.22044604925031e-16
6.38000747226616,9.88460588718095,0.72911905956814,30.0450376547823,-0.0662819147265929,-0.0762289414242505,12.268442179981,0.199792762013415,-2.22044604925031e-16,2.40646281071489,-5.13927596370565,-2.22044604925031e-16,2.03620950125763,4.9679033436001,0
8.45781063406419,9.42546496457421,-0.190203197452842,29.9530633794694,-0.0406731182191585,-0.0291809375764298,12.0075151751297,0.204219640540862,0,2.11229285943838,-5.10342780388607,0,1.74678553844046,4.99936187665663,0
5.8587611306126,9.64515616191396,1.18859467046427,29.9792546360382,-0.0329308381255698,0.0491995334049327,11.677886316573,0.195848499458291,-2.22044604925031e-16,1.83118493366683,-5.08119563680435,0,1.45085278730516,4.96956690980827,0
7.15089746051902,8.80868111516487,0.836829947748332,30.0237254485118,0.062608292738496,-0.044631132783033,11.4014499750784,0.196206134477154,-2.22044604925031e-16,1.54519982657483,-5.08069450600927,0,1.15935907857047,4.98411615341452,0
6.96359924011118,10.0504260047872,0.286161901170182,29.9656915715944,-0.0406657243872247,0.0396701279425937,11.0932309078055,0.207886961017603,-2.22044604925031e-16,1.25971590134027,-5.07918981012503,-2.22044604925031e-16,0.855116251662579,5.01183974694028,0
6.6730484667676,8.83877932724786,1.78482983886684,29.9899905506892,0.047020582714313,0.0174578168577705,10.7793937225936,0.200118102153728,-2.22044604925031e-16,0.976519687357607,-5.0775029356104,-2.22044604925031e-16,0.596617088666905,4.97023333226838,0
6.39247741487626,8.12059786164204,0.788976200730389,29.9672858819733,0.0622451505158453,-0.0646132208932491,10.4593420697663,0.20009698460752,-2.22044604925031e-16,0.696142623207968,-5.08611322726741,-2.22044604925031e-16,0.353167422028358,4.91351805669043,0
7.2535493896642,9.36150085638931,0.343220672265526,29.9970798309027,0.126748734386754,0.0219322718880101,10.17514891618,0.202243329189143,-2.22044604925031e-16,0.426549557663648,-5.06753662787329,0,-0.0285442531952507,5.05027428335578,0
